fullname,Papers,Cites,H-Index,HM-Index,First,Last
Ariela Keysar,1,13,1,1,1985,1985
Harriet Birungi,1,18,1,1,2010,2010
Tom O. Owuor,1,10,1,1,2001,2001
Peter Streble,1,58,1,1,1987,1987
Donna B. Sulak,1,3,1,1,1988,1988
Ian M. Tamæus,1,54,1,1,2003,2003
Ann M. DiGirolamo,1,7,1,1,2009,2009
Katherine L. Bourne,1,35,1,1,1991,1991
Richard F. Tomasson,1,20,1,1,1977,1977
Gianpiero Dalla-Zuanna,1,2,1,1,2010,2010
Alena Heitlinger,1,16,1,1,1976,1976
Julie da Vanzo,1,72,1,1,2008,2008
Helena Chojnacka,1,14,1,1,1976,1976
Mark Poffenberger,1,4,1,1,1983,1983
Richard S. Monteith,1,11,1,1,1988,1988
Heather Juby,1,18,1,1,1998,1998
Isabelle Attané,1,27,1,1,2009,2009
Karsten Hank,1,41,1,1,2010,2010
Sue Teper,1,1,1,1,1978,1978
Eugene P. Ericksen,1,35,1,1,1979,1979
Wilma Johanna Nusselder,1,7,1,1,2016,2016
Ann Bowman Jannetta,1,18,1,1,1992,1992
Nikolai Botev,1,25,1,1,1990,1990
Melita C. Gesche,1,113,1,1,1974,1974
Bhanu B. Niraula,1,46,1,1,1996,1996
Georges Sabagh,1,7,1,1,1970,1970
Akim J. Mturi,1,12,1,1,2000,2000
Charles B. Teddlie,1,3,1,1,1979,1979
Frederick H.A. Aalen,1,4,1,1,1963,1963
Barbara Laslett,1,5,1,1,1987,1987
Kate Hampshire,1,15,1,1,2000,2000
Anouch Chahnazarian,1,6,1,1,1991,1991
Anthony H. Galt,1,2,1,1,1979,1979
Bui The Cuong,1,52,1,1,2000,2000
George T. Bicego,1,6,1,1,1991,1991
Constantijn W.A. Panis,1,22,1,1,1995,1995
Hai S. Halevi,1,1,1,1,1956,1956
Máire Ní Bhrolcháin,1,109,1,1,2012,2012
Antoinette M. Stroup,1,8,1,1,2015,2015
Thomas K. LeGrand,1,36,1,1,1996,1996
Céline Le Bourdais,1,18,1,1,1998,1998
Ann E. Biddlecom,1,36,1,1,2005,2005
Nancy Luke,1,22,1,1,2010,2010
Omer R. Galle,1,3,1,1,1973,1973
Philip Verwimp,1,39,1,1,2004,2004
Brian L. Pitcher,1,6,1,1,1974,1974
SØlvi B. Sogner,1,6,1,1,1963,1963
N. Krishnan Namboodiri,1,88,1,1,1972,1972
Wayne A. Schutjer,1,16,1,1,1986,1986
Helmut V. Muhsam,1,1,1,1,1975,1975
Martin P. Brockerhoff,1,71,1,1,2003,2003
Bryan L. Boulier,1,5,1,1,1986,1986
Monica Akinyi Magadi,1,71,1,1,2003,2003
Ghazi M. Farooq,1,4,1,1,1974,1974
Kim Streatfield,1,61,1,1,1991,1991
Frances E. Kobrin,1,17,1,1,1981,1981
Muriel Neven,1,22,1,1,2007,2007
Peter Skol̈d,1,16,1,1,1996,1996
Gretchen A. Condran,1,60,1,1,1994,1994
Romana Peronaci,1,28,1,1,2000,2000
H. Yuan Tien,1,4,1,1,1970,1970
Arild Saether,1,2,1,1,1993,1993
Nicola Terceira,1,44,1,1,2003,2003
Alan R. Sweezy,1,15,1,1,1971,1971
Dirgha J. Ghimire,1,14,1,1,2012,2012
Jesús Javier Sánchez Barricarte,1,4,1,1,2017,2017
Baron L. Moots,1,34,1,1,1978,1978
Fernando González-Quinones,1,23,1,1,2003,2003
Allan M. Parnell,1,11,1,1,1983,1983
Jane E. Vander Haar,1,27,1,1,1993,1993
Pedro Luis Iriso-Napal,1,17,1,1,1989,1989
Ian M. Timaæus,1,23,1,1,2004,2004
Karla Oosterveen,1,39,1,1,1973,1973
Ma Linmao,1,24,1,1,2000,2000
S. Ryan Johansson,1,59,1,1,1987,1987
Ephraim Hlophe,1,14,1,1,1992,1992
Lilach Lion Elmakias,1,24,1,1,2002,2002
Gugulethu Gule,1,14,1,1,1992,1992
Ole Jørgen Benedictow,1,24,1,1,1987,1987
Henry S. Shryock,1,2,1,1,1950,1950
Lee E. Edlefsen,1,5,1,1,1981,1981
Paola DiGiulio,1,27,1,1,2010,2010
Angela Reynar,1,49,1,1,1998,1998
Flávia Cristina,1,42,1,1,2004,2004
Emma Lundholm,1,10,1,1,2018,2018
Michele Gragnolati,1,8,1,1,1999,1999
Kelly A. Musick,1,15,1,1,2014,2014
Napaporn Havanon,1,6,1,1,1992,1992
George T. Curlin,1,28,1,1,1976,1976
Ronald G. Ridker,1,7,1,1,1969,1969
Phillip Neal Ritchey,1,36,1,1,1975,1975
Celeste M. Smucker,1,24,1,1,1980,1980
Jean L.E. Bourgeois-Pichat,1,12,1,1,1971,1971
J. Henripin,1,4,1,1,1982,1982
Mary Beth Ofstedal,1,53,1,1,2002,2002
Tomas Kögel,1,107,1,1,2004,2004
Gerda Neyer,1,67,1,1,2001,2001
Paul L. Menchik,1,110,1,1,1993,1993
R. E. Lightbourne,1,7,1,1,1982,1982
José Alberto Magno de Carvalho,1,42,1,1,2004,2004
Robert Kominski,1,5,1,1,1984,1984
Jan Hatzius,1,188,1,1,1997,1997
Kåre Bævre,1,3,1,1,2014,2014
Amandine Cournil,1,17,1,1,2006,2006
Caroline W. Kabiru,1,15,1,1,2017,2017
Godwin A. Udofia,1,6,1,1,1979,1979
Tom Zhuwau,1,57,1,1,1999,1999
Jochen Fleischhacker,1,7,1,1,2002,2002
Samson W. Wasao,1,14,1,1,1996,1996
Michaela Kreyenfeld,1,95,1,1,2012,2012
Lena Edlund,1,5,1,1,2015,2015
Ian R.H. Rockett,1,10,1,1,1981,1981
Susan de Vos,1,27,1,1,1987,1987
Harriet B. Presser,1,12,1,1,1969,1969
Judith Banister,1,97,1,1,2004,2004
Karen N. Eggleston,1,11,1,1,2015,2015
Lucky M. Tedrow,1,5,1,1,1976,1976
Melvin Zelnik,1,12,1,1,1966,1966
Renata T. Forste,1,37,1,1,1994,1994
Andrew J. Cherlin,1,55,1,1,1999,1999
R. W. Hodge,1,5,1,1,1972,1972
Robert E. Elder,1,3,1,1,1974,1974
Luis R. Rosero-Bixby,1,60,1,1,1993,1993
Shripad D. Tuljapurkar,1,18,1,1,1999,1999
Brenda Davis Root,1,58,1,1,1991,1991
Bennett Dyke,1,8,1,1,1986,1986
Mary F. Hollingsworth,1,38,1,1,1971,1971
James R. Abernathy,1,6,1,1,1976,1976
Elsie R. Pamuk,1,254,1,1,1985,1985
E. W. Bock,1,10,1,1,1971,1971
Andrés Peri,1,14,1,1,1999,1999
Tapani Valkonen,1,24,1,1,2009,2009
Murray Gendell,1,5,1,1,1973,1973
Farhat Yusuf,1,10,1,1,1981,1981
Susan L. Norton,1,20,1,1,1971,1971
Sonia R. Bhalotra,1,13,1,1,2008,2008
Mikhail Borisovich Denisenko,1,8,1,1,2013,2013
Steve Smallwood,1,27,1,1,2010,2010
Omar B. Ahmad,1,76,1,1,2003,2003
Napaporn Chayovan,1,5,1,1,1990,1990
Julian Bharier,1,16,1,1,1968,1968
John D. Allingham,1,4,1,1,1969,1969
Baran Tuncer,1,4,1,1,1974,1974
Savitri Thapar,1,1,1,1,1963,1963
Theo L.M. Engelen,1,19,1,1,1986,1986
Valerie Kincade Oppenheimer,1,2,1,1,1967,1967
Yitchak Haberfeld,1,22,1,1,2001,2001
H. W. Dalrymple,1,22,1,1,1968,1968
Malini Karkal,1,3,1,1,1972,1972
Piers M. Blaikie,1,2,1,1,1972,1972
Jan I. Ondrich,1,14,1,1,1998,1998
Sergio Díaz-Briquets,1,16,1,1,1981,1981
Steven Ruggles,1,72,1,1,1992,1992
Andrew Kantner,1,5,1,1,1998,1998
Jayanti M. Tuladhar,1,6,1,1,1982,1982
Dmitri A. Jdanov,1,14,1,1,2011,2011
Alejandro N. Herrin,1,6,1,1,1976,1976
Timm Thorsen,1,3,1,1,1972,1972
John H. Maindonald,1,211,1,1,2002,2002
Alexander A. Weinreb,1,10,1,1,2016,2016
J. W. Nixon,1,2,1,1,1970,1970
Anthony Marino,1,8,1,1,1970,1970
John Baj,1,4,1,1,1984,1984
Robert René Kuczynski,1,2,1,1,1948,1948
Bishwa Nath Mukherjee,1,3,1,1,1975,1975
Ralph Thomlinson,1,2,1,1,1976,1976
Eino Jutikkala,1,6,1,1,1971,1971
Michael Drake,1,7,1,1,1966,1966
Benjamin Davis,1,67,1,1,2002,2002
Robert R. Bourbeau,1,23,1,1,1997,1997
Peter F. Thorbahn,1,18,1,1,1975,1975
Constantinos Kallis,1,21,1,1,2006,2006
Pauline Airey,1,48,1,1,1999,1999
Dennis A. Ahlburg,1,23,1,1,2004,2004
Nicholas C. Grassly,1,23,1,1,2004,2004
Helena Temkin-Greener,1,23,1,1,1978,1978
John S. Aird,1,2,1,1,1962,1962
Augustine Joseph Kposowa,1,2,1,1,2017,2017
Gérard Calot,1,18,1,1,1982,1982
Mary Mahy,1,23,1,1,2004,2004
Robert H. Haveman,1,3,1,1,1980,1980
Cheryl Elman,1,31,1,1,1995,1995
R. Mansell Prothero,1,3,1,1,1956,1956
John F. Kantner,1,4,1,1,1969,1969
J. Mayone Stycos,1,7,1,1,1963,1963
Joseph F. Donnermeyer,1,14,1,1,1996,1996
Christine L. Himes,1,60,1,1,1994,1994
Frank T. Denton,1,5,1,1,1974,1974
Suhas L. Ketkar,1,4,1,1,1979,1979
Joginder Kumar,1,5,1,1,1971,1971
David J. Pasta,1,88,1,1,2004,2004
Katherine Faust,1,17,1,1,2012,2012
Michael Banton,1,2,1,1,1953,1953
James P. Cunningham,1,5,1,1,1972,1972
Barbara Entwisle,1,17,1,1,2012,2012
Susan H. Jayne,1,37,1,1,1997,1997
Timothy T. Johnson,1,3,1,1,1973,1973
Paul G. Demeny,1,7,1,1,2015,2015
Olive L. Banks,1,15,1,1,1954,1954
Lauren E. Hale,1,72,1,1,2008,2008
G. M. Mirza,1,9,1,1,1982,1982
Huda C. Zurayk,1,10,1,1,1979,1979
Jane Cecelia Falkingham,1,20,1,1,2001,2001
Dorothy L. Nortman,1,8,1,1,1972,1972
Lea Keil Garson,1,6,1,1,1991,1991
Elizabeth Colson,1,45,1,1,1995,1995
Lawrence J. Severy,1,88,1,1,2004,2004
Valerie J. Hull,1,24,1,1,1977,1977
Seymour L. Wolfbein,1,19,1,1,1949,1949
Shantha Madhavan,1,5,1,1,1981,1981
James H. Mielke,1,12,1,1,1989,1989
Ellen Kruse,1,40,1,1,1997,1997
Jacques Vallin,1,25,1,1,2002,2002
Lynn B. Jorde,1,12,1,1,1989,1989
Noriko O. Tsuya,1,24,1,1,1991,1991
William D. Mosher,1,11,1,1,1980,1980
Verne E. Nelson,1,28,1,1,1974,1974
Nitai Chakraborty,1,5,1,1,1998,1998
Nadia H. Youssef,1,3,1,1,1977,1977
Thomas William Valente,1,36,1,1,2005,2005
Ghyasuddin Ahmed,1,24,1,1,1999,1999
Shyam Thapa,1,15,1,1,1982,1982
Robert K. Eastwood,1,46,1,1,2011,2011
Reiner Hans Dinkel,1,22,1,1,1985,1985
Byron J. Good,1,15,1,1,1980,1980
Warren M. Hern,1,23,1,1,1992,1992
Bali Ram,1,2,1,1,1976,1976
Bali Ram,1,3,1,1,1993,1993
Benjamin Spencer Bradshaw,1,6,1,1,1969,1969
Sian Floyd,1,75,1,1,2007,2007
Riccårdo Capocaccia,1,31,1,1,1989,1989
W. Whitney Hicks,1,2,1,1,1977,1977
Marco Bonetti,1,5,1,1,2019,2019
Harald Frederiksen,1,5,1,1,1970,1970
James W. Brackett,1,2,1,1,1962,1962
Alysa Levene,1,10,1,1,2005,2005
John F. Hoddinott,1,7,1,1,2009,2009
Wladyslaw Z. Billewicz,1,4,1,1,1955,1955
David M. Bishai,1,18,1,1,2010,2010
Omar Rahman,1,18,1,1,1999,1999
Gerald E. Markle,1,13,1,1,1977,1977
Mark W. Oberle,1,11,1,1,1988,1988
John C. Haskey,1,25,1,1,1984,1984
Cem L. Behar,1,3,1,1,1987,1987
Zdeněk Pavlík,1,22,1,1,1990,1990
Jennifer Leaning,1,9,1,1,2008,2008
S. Krishnamoorthy,1,3,1,1,1979,1979
Fiona Steele,1,21,1,1,2006,2006
David Philip Lindstrom,1,4,1,1,1998,1998
Jeffrey Cassel,1,65,1,1,1995,1995
Anton Eduard Kunst,1,21,1,1,2007,2007
Rafiqul Huda Chaudhury,1,5,1,1,1978,1978
Judith A. Fortney,1,13,1,1,1970,1970
Pieter E. Treffers,1,2,1,1,1967,1967
Laura Ann McCloskey,1,14,1,1,2008,2008
E. Susswein,1,1,1,1,1948,1948
Betty M. Giles-Bernardelli,1,1,1,1,1950,1950
Ray R. Canning,1,8,1,1,1972,1972
Signild Vallgårda,1,5,1,1,2010,2010
François Lafitte,1,1,1,1,1962,1962
Melissa Ruth Partin,1,12,1,1,1992,1992
Elizabeth Stadulis,1,22,1,1,1952,1952
Karri Silventoinen,1,10,1,1,2014,2014
Veijo Notkola,1,13,1,1,2000,2000
Amelia Catharine Crampin,1,75,1,1,2007,2007
Edward Shorter,1,77,1,1,1971,1971
Carol Klapprodt,1,5,1,1,1955,1955
Karl E. Bauman,1,4,1,1,1973,1973
Pradip K. Muhuri,1,18,1,1,1997,1997
A. Roger Thatcher,1,45,1,1,1992,1992
Akinrinola Bankole,1,138,1,1,1995,1995
Christa Katharina Spieß,1,14,1,1,1998,1998
Hilde A.J. Bras,1,22,1,1,2007,2007
Robert F. Schoeni,1,47,1,1,2006,2006
Chantal Blayo,1,18,1,1,1982,1982
Adelinde M. Uhrmacher,1,9,1,1,2017,2017
R. A. Renin,1,16,1,1,1968,1968
Izaslaw Frenkel,1,4,1,1,1976,1976
Doris P. Slesinger,1,14,1,1,1961,1961
Jaap Dronkers,1,59,1,1,2008,2008
Oriel Sullivan,1,4,1,1,1991,1991
André L.J. Langaney,1,19,1,1,1985,1985
John Blacker,1,24,1,1,2005,2005
Grant M. Farr,1,15,1,1,1980,1980
Jay H. Glasser,1,10,1,1,1968,1968
Jeffrey B. Nugent,1,25,1,1,1984,1984
Eric P. Kaufmann,1,3,1,1,2012,2012
Mildred Blaxter,1,5,1,1,1991,1991
Maud Bülbring,1,8,1,1,1954,1954
James Spillius,1,19,1,1,1957,1957
Susan Hill Cochrane,1,12,1,1,1975,1975
Christopher N. Avery,1,16,1,1,2013,2013
Geoff Peter Garnett,1,26,1,1,1994,1994
Alicia Menendez,1,33,1,1,2011,2011
Warren C. Sanderson,1,23,1,1,1990,1990
Virginia Aldigé Hiday,1,4,1,1,1974,1974
Ann M. Berrington,1,77,1,1,1999,1999
Lokky Wai,1,42,1,1,1990,1990
Raymond T. Smith,1,13,1,1,1959,1959
Weerasit Sittitrai,1,6,1,1,1992,1992
Wiji Arulampalam,1,13,1,1,2008,2008
Jyotsnarnoy Chakraborty,1,41,1,1,1978,1978
Kevin E. Schürer,1,4,1,1,2020,2020
Paul M. de Graaf,1,102,1,1,2005,2005
Fredric David Abramson,1,2,1,1,1973,1973
Carole Feldmann,1,56,1,1,1993,1993
Paul Huck,1,25,1,1,1994,1994
M. Giovanna Merli,1,29,1,1,2006,2006
Narayan Sastry,1,65,1,1,1997,1997
Hidehiro Sugisawa,1,47,1,1,2006,2006
Graziella Caselli,1,31,1,1,1989,1989
Marianne A. Jonker,1,5,1,1,2007,2007
Barrie M. Margetts,1,56,1,1,1999,1999
John Coward,1,12,1,1,1980,1980
Fanny Janssen,1,21,1,1,2007,2007
Thomas N. Maloney,1,18,1,1,2017,2017
Walter Rodrigues,1,23,1,1,1984,1984
David J. Lunn,1,16,1,1,1998,1998
Stephen K. Chandiwana,1,57,1,1,1999,1999
Carol E. Kaufman,1,16,1,1,2000,2000
Iqbal H. Shah,1,3,1,1,1987,1987
Charles B. Goodhart,1,8,1,1,1973,1973
Jeanne Clare Ridley,1,31,1,1,1966,1966
Roger A.P. Finlay,1,14,1,1,1978,1978
John G. Haaga,1,10,1,1,1982,1982
Steven L. Hoch,1,23,1,1,1998,1998
Robert H. Weller,1,2,1,1,1979,1979
Nurul Hoque Alam,1,42,1,1,1990,1990
Susan B. Hanley,1,23,1,1,1974,1974
Oded Stark,1,143,1,1,1988,1988
Dov Friedlander,1,87,1,1,2005,2005
Jeroen K. Vermunt,1,51,1,1,2001,2001
Thomas Cassidy,1,6,1,1,2012,2012
Harold Snieder,1,16,1,1,2015,2015
Ruth Mary Pickering,1,3,1,1,1986,1986
Charles A. Calhoun,1,32,1,1,1988,1988
Eva M. Bernhardt,1,19,1,1,1972,1972
Anthony John Christopher,1,3,1,1,2006,2006
Warwick Neville,1,4,1,1,1978,1978
William Griffiths,1,15,1,1,1965,1965
Lorenzo Moreno,1,5,1,1,1991,1991
Neil G. Bennett,1,34,1,1,1983,1983
Atef M. Khalifa,1,10,1,1,1973,1973
Martin Lindström,1,108,1,1,2000,2000
Robin F. Haines,1,16,1,1,1994,1994
H. Yuan Tien,1,6,1,1,1965,1965
R. J.Warwick Neville,1,2,1,1,1963,1963
Amyong Tsui,1,12,1,1,2008,2008
James Lee,1,45,1,1,1995,1995
Daniel D. Greenfield,1,25,1,1,1990,1990
Taro Fukaya,1,47,1,1,2006,2006
John W. Budd,1,27,1,1,1991,1991
Anne H?l?ne Gauthier,1,188,1,1,1997,1997
Shoshana Neuman,1,9,1,1,2007,2007
Donald T. Rowland,1,10,1,1,1984,1984
K. K. Kwok,1,2,1,1,1986,1986
Karen Oppenheim Mason,1,5,1,1,1987,1987
Sami W. Dajani,1,4,1,1,1947,1947
Danié̈le Bèlanger,1,14,1,1,2009,2009
Charles L. Chase,1,4,1,1,1973,1973
Harvey H. Marshall,1,20,1,1,1977,1977
M. Bhat,1,7,1,1,1984,1984
Alejandro Aguirre,1,11,1,1,1990,1990
Allen C. Kelley,1,8,1,1,1973,1973
Kenji Otani,1,11,1,1,1991,1991
Stuart A. Low,1,85,1,1,1984,1984
William Petersen,1,12,1,1,1955,1955
Jack A. Goldstone,1,66,1,1,1986,1986
M. Rafiq,1,1,1,1,1979,1979
P. N. Mari Bhat,1,205,1,1,1997,1997
Pia Wohland,1,6,1,1,2014,2014
Elin Charles-Edwards,1,31,1,1,2014,2014
B. McCann,1,3,1,1,1970,1970
Dorothy McLaren,1,4,1,1,1974,1974
J. David Hacker,1,27,1,1,2014,2014
Lois E. Paul,1,21,1,1,1987,1987
Michael Lipton,1,46,1,1,2011,2011
Tony L. Goldberg,1,88,1,1,1993,1993
Alvan O. Zarate,1,4,1,1,1967,1967
Gerard J. Van Den Berg,1,19,1,1,2013,2013
Gillian R. Bentley,1,88,1,1,1993,1993
Douglas S. Massey,1,5,1,1,1976,1976
John Landers,1,28,1,1,1987,1987
Jennifer E. Glick,1,23,1,1,2008,2008
Jose Gomez de Leon,1,12,1,1,1989,1989
Narindar U. Kelly,1,45,1,1,1976,1976
William Sander,1,32,1,1,1992,1992
Joseph A. Cavanaugh,1,3,1,1,1979,1979
Eilidh M. Garrett,1,4,1,1,2020,2020
Stephen C. Farber,1,31,1,1,1984,1984
Lisbeth B. Knudsen,1,82,1,1,2002,2002
Megan M. Sweeney,1,7,1,1,2016,2016
Zhenchao Qian,1,29,1,1,1997,1997
S. N. Agarwala,1,6,1,1,1961,1961
Maria Maria Montenegro,1,65,1,1,1995,1995
Gustav Feichtinger,1,19,1,1,1992,1992
Barbara C. Stevens,1,8,1,1,1969,1969
Sharon Pasco,1,13,1,1,1977,1977
Hubert A. Allen,1,58,1,1,1987,1987
Brian P. Bradley,1,10,1,1,1978,1978
Susan Cotts Watkins,1,20,1,1,1981,1981
Leo Morris,1,23,1,1,1984,1984
D. Lam,1,15,1,1,1983,1983
David A. Lam,1,8,1,1,1984,1984
Stephen N. Simpson,1,16,1,1,1998,1998
Karen Leslie Kramer,1,22,1,1,2008,2008
Sumit Guha,1,19,1,1,1993,1993
Eva Mueller,1,20,1,1,1972,1972
David W. Lucas,1,1,1,1,1982,1982
Stephen P. Jenkins,1,88,1,1,1999,1999
Germana Sánchez,1,65,1,1,1995,1995
Gordon D. Murray,1,3,1,1,1986,1986
Peter D.M. Macdonald,1,85,1,1,1980,1980
Eric R. Jensen,1,23,1,1,2004,2004
Robin G. Milne,1,7,1,1,1973,1973
Snehendu B. Kar,1,12,1,1,1978,1978
John G. Cleland,1,23,1,1,1985,1985
Fred Arnold,1,223,1,1,1998,1998
Jee Peng Tan,1,9,1,1,1983,1983
Brodie D. Ferguson,1,76,1,1,2003,2003
Alauddin K.M. Chowdhury,1,34,1,1,1986,1986
Paul A. David,1,23,1,1,1990,1990
Frank Lancaster Jones,1,18,1,1,1991,1991
Roderick J.A. Little,1,40,1,1,1984,1984
John F. Forbes,1,3,1,1,1986,1986
Katherine A. Lynch,1,52,1,1,1994,1994
John Fulton,1,28,1,1,1976,1976
Sonalde Desai,1,62,1,1,1995,1995
Mary Beth Weinberger,1,34,1,1,1978,1978
Jacqueline Hecht,1,11,1,1,1987,1987
Peter F. McDonald,1,83,1,1,1986,1986
Harvey Goldstein,1,21,1,1,2006,2006
Alan D. Lopez,1,76,1,1,2003,2003
J. May,1,11,1,1,1979,1979
Samar K. Datta,1,25,1,1,1984,1984
Jeanne S. Newman,1,45,1,1,1976,1976
Aryeh D. Stein,1,7,1,1,2009,2009
Sheila Ryan Johansson,1,3,1,1,2005,2005
Peter R. Mason,1,44,1,1,2003,2003
Nasra M. Shah,1,54,1,1,1983,1983
William H. James,1,15,1,1,1966,1966
Zai Liang,1,9,1,1,2013,2013
Mushtaque Raja Chowdhury,1,16,1,1,1997,1997
Charles H. Reynolds,1,8,1,1,1972,1972
Satomi Sakamoto,1,47,1,1,1996,1996
Yu Xie,1,14,1,1,2014,2014
Vijayendra Rao,1,55,1,1,1993,1993
George M. Walker,1,35,1,1,1991,1991
Evan T. Peterson,1,6,1,1,1974,1974
Julius Paul,1,8,1,1,1967,1967
Barbara E. Thompson,1,5,1,1,1977,1977
Alfredo Pérez,1,45,1,1,1971,1971
Xiaoyi Jin,1,10,1,1,2003,2003
Douglas A. Wolf,1,38,1,1,2011,2011
Neff P. Walker,1,23,1,1,2004,2004
Clarita Tan,1,6,1,1,1976,1976
J. Stern,1,58,1,1,1983,1983
Robert Edward Mitchell,1,11,1,1,1971,1971
Daniel Schwartz,1,85,1,1,1980,1980
Shelley D. Clark,1,15,1,1,2017,2017
Angelique Wei Ming Chan,1,53,1,1,2002,2002
Arthur P. Wolf,1,5,1,1,1994,1994
Jeffrey G. Williamson,1,20,1,1,1984,1984
Daewoo Han,1,17,1,1,1982,1982
Yinon Cohen,1,22,1,1,2001,2001
J. M. Shah,1,25,1,1,1982,1982
Garry S. Meyer,1,1,1,1,1978,1978
Nan E. Johnson,1,29,1,1,1992,1992
Allan G. Hill,1,11,1,1,1990,1990
Sayed Babur Hussain,1,28,1,1,1976,1976
Lin Jiang,1,56,1,1,1995,1995
L. B. Brown,1,2,1,1,1957,1957
Joan M. Bennett,1,47,1,1,2006,2006
Jersey Liang,1,47,1,1,2006,2006
James Franklin Phillips,1,36,1,1,1996,1996
John E. Gordon,1,36,1,1,1965,1965
Carl E. Taylor,1,45,1,1,1976,1976
John R. Marshall,1,189,1,1,1969,1969
Lawrence L. Wu,1,3,1,1,2015,2015
Yuanreng Hu,1,5,1,1,1995,1995
Yaohui Zhao,1,7,1,1,2015,2015
Pichao Chen,1,2,1,1,1970,1970
Weiguo Zhang,1,33,1,1,2000,2000
,1,34,1,1,1997,1997
C. H. Lee,1,52,1,1,1991,1991
Young J. Kim,1,11,1,1,1998,1998
L. J. Smith,1,2,1,1,1979,1979
Len R. Smith,1,211,1,1,2002,2002
Wen L. Li,1,18,1,1,1973,1973
James Lee,1,63,1,1,1994,1994
Yuan Jianhua,1,48,1,1,1994,1994
Göran Broström,1,26,1,1,2005,2005
Aiva Jasilioniene,1,95,1,1,2012,2012
Mikael Rostila,1,3,1,1,2018,2018
Aaron Gullickson,1,12,1,1,2004,2004
Momodou Jasseh,1,24,1,1,2005,2005
Zhenming Xie,1,36,1,1,2007,2007
Jessica Erin Todd,1,43,1,1,2007,2007
Cyril Burt,1,2,1,1,1947,1947
Georges Mauco,1,1,1,1,1950,1950
Amon Ergashev,1,16,1,1,1996,1996
